id,subject,question,sentence_length,avg_word_length,num_clauses,num_punct,num_nouns,num_verbs,num_adjs,perplexity
1,Văn học,Từ Văn hóa trong văn bản Phong cách Hồ Chí Minh được hiểu,8,6.25,0,0,4,1,0,1.5584259768626698
2,Văn học,Ý nào nói lên việc tiếp thu có chọn lọc tinh hoa văn hóa nước ngoài của Hồ Chí Minh không được nêu trong bài viết,19,5.0,0,0,7,8,0,1.35863355276057
3,Văn học,Vấn đề chủ yếu được nói tới trong văn bản Phong cách Hồ Chí Minh là gì,11,5.454545454545454,0,0,4,3,1,1.2540407411918533
4,Văn học,Theo tác giả quan niệm thẩm mĩ về cuộc sống của Chủ tịch Hồ Chí Minh là gì,11,5.818181818181818,0,0,5,3,0,1.1534616466812204
5,Văn học,Từ nào sau đây trái nghĩa với truân chuyên,8,4.375,1,0,2,1,1,1.0402432919181281
6,Văn học,Trong đoạn văn sau tác giả đã sử dụng biện pháp nghệ thuật gì để làm nổi bật phong cách của Hồ Chí Minh Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác,67,5.08955223880597,7,0,26,11,9,1.0508318869332616
7,Văn học,Chủ tịch Hồ Chí Minh được UNESCO công nhận là,6,6.666666666666667,0,0,3,3,0,1.446315775548246
8,Văn học,Em hiểu từ phong cách trong Phong cách Hồ Chí Minh có nghĩa là gì,10,5.6,0,0,4,3,0,1.0783602805835761
9,Văn học,Đoạn văn sau được viết theo phương thức biểu đạt chính nào Trong cuộc đời đầy truân chuyên của mình Chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả ở phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã từng sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề,80,4.7,4,0,34,13,8,1.0860129906398321
10,Văn học,Phong cách sống của Hồ Chí Minh được tác giả so sánh với những ai,10,5.6,0,0,4,3,0,1.7176103040064414
11,Văn học,Hồ Chí Minh đã tiếp thu giá trị của những nền văn hóa nào,9,5.444444444444445,0,0,4,1,0,1.2735804449179158
12,Văn học,Ý nào sau đây không đúng khi nói về văn bản Phong cách Hồ Chí Minh,12,4.583333333333333,2,0,6,1,1,1.0939616572646282
13,Văn học,Theo em cụm từ quan niệm thẩm mĩ trong câu Nếp sống giản dị và thanh đạm của Bác Hồ là một quan niệm thẩm mĩ về cuộc sống có nghĩa là gì,23,4.956521739130435,1,0,8,8,1,1.0525280803009776
14,Văn học,Phương thức biểu đạt chính trong văn bản phong cách Hồ Chí Minh là,8,7.375,0,0,4,2,0,1.1963215716712172
15,Văn học,Vấn đề chủ yếu được nói đến trong Văn bản phong cách Hồ Chí Minh là,10,5.8,0,0,4,2,1,1.4132243018784836
16,Văn học,Trong bài viết tác giả cho rằng Nếp sống giản dị và thanh đạm của Bác Hồ là một quan niệm thẩm mĩ về cuộc sống Theo em cụm từ quan niệm thẩm mĩ là gì,26,4.769230769230769,1,0,9,9,1,1.1150495305500885
18,Văn học,Trong các từ sau từ nào không phải là từ Hán Việt,12,3.1666666666666665,1,0,3,0,1,1.0294703546424908
19,Văn học,Trong đoạn văn sau tác giả sử dụng biện pháp nghệ thuật gì để làm nổi bật phong cách Hồ Chí Minh Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là một lối sống thanh cao một cách di dưỡng tinh thần một quan niệm về thẩm mĩ cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác,65,5.123076923076923,7,0,26,13,7,1.063251825950792
20,Văn học,Lối sống của Bác là sự kết hợp giữa giản dị và thanh cao vì sao,13,3.923076923076923,2,0,3,4,1,1.1565793234861437
21,Văn học,Trong quá trình tiếp thu tinh hoa văn hóa nước ngoài Người tiếp thu một cách có chọn lọc không ảnh hưởng thụ động biết tiếp thu cái hay cái đẹp phê phán hạn chế tiêu cực đúng hay sai,26,6.038461538461538,2,0,8,9,3,1.1320499938933681
22,Văn học,Chọn từ thích hợp để điền vào chỗ trống Đó là cách sống giản dị đạm bạc nhưng rất của Hồ Chí Minh,18,4.444444444444445,2,0,5,4,2,1.2445104274208925
23,Văn học,Tác giả của bài Phong cách Hồ Chí Minh là ai,7,5.428571428571429,0,0,4,1,0,1.694448636075562
24,Văn học,Phong cách của Hồ Chí Minh là sự kết hợp giữa,7,5.571428571428571,0,0,3,2,0,1.0501029651225
25,Văn học,Vì sao Hồ Chủ tịch lại có vốn văn hóa sâu rộng,8,4.875,1,0,2,2,0,1.5175338823647921
26,Văn học,Văn bản này thuộc thể loại nào,5,5.2,0,0,2,1,0,2.116848980909019
27,Văn học,Lối sống rất bình dị rất Việt Nam rất phương Đông của Bác được thể hiện như thế nào,13,5.461538461538462,0,0,3,2,2,1.3370318936741727
28,Văn học,Phong cách của Hồ Chí Minh là sự kết hợp giữa,7,5.571428571428571,0,0,3,2,0,1.0501029651225
29,Văn học,Tác giả của bài Phong cách Hồ Chí Minh là ai,7,5.428571428571429,0,0,4,1,0,1.694448636075562
30,Văn học,Vấn đề chủ yếu được tác giả nói tới trong văn bản Phong cách Hồ Chí Minh là gì,12,5.583333333333333,0,0,5,3,1,1.3260880968813797
31,Văn học,Văn bản này thuộc thể loại nào,5,5.2,0,0,2,1,0,2.116848980909019
32,Văn học,Chọn từ thích hợp để điền vào chỗ trống Đó là cách sống giản dị đạm bạc nhưng rất của Hồ Chí Minh,18,4.444444444444445,2,0,5,4,2,1.2445104274208925
33,Văn học,Em hiểu từ phong cách trong phong cách Hồ Chí Minh có nghĩa là gì,10,5.6,0,0,4,3,0,1.1063206692058425
34,Văn học,Để làm nổi bật lối sống rất giản dị của Hồ Chí Minh tác giả đã sử dụng phương thức lập luận nào,14,5.857142857142857,1,0,4,3,2,1.2922231499574817
35,Văn học,Trong bài viết tác giả cho rằng Nếp sống giản dị và thanh đạm của Bác Hồ là một quan niệm thẩm mĩ về cuộc sống Theo em cụm từ quan niệm thẩm mĩ là gì,26,4.769230769230769,1,0,9,9,1,1.1150495305500885
36,Văn học,Trong bài viết để làm nổi bật vẻ đẹp của phong cách Hồ Chí Minh tác giả không sử dụng biện pháp nghệ thuật nào,16,5.9375,1,0,6,3,2,1.175545244220675
37,Văn học,Văn bản Phong cách Hồ Chí Minh sử dụng phương thức biểu đạt chính là gì,9,7.0,0,0,4,3,0,1.5244055700256465
38,Văn học,Để viết mở bài phân tích văn bản Phong cách Hồ Chí Minh cần đảm bảo ý nào sau đây,14,4.857142857142857,2,0,6,5,0,1.140553584059066
39,Văn học,Vì sao Hồ Chủ tịch lại có vốn văn hóa sâu rộng,8,4.875,1,0,2,2,0,1.5175338823647921
41,Văn học,Ý nào nói đúng nhất những phương diện thể hiện lối sống giản dị của chủ tịch Hồ Chí Minh,14,5.357142857142857,0,0,5,3,2,1.07071523395813
42,Văn học,Trong bài viết Phong cách Hồ Chí Minh tác giả so sánh lối sống của Bác Hồ với lối sống của những ai,15,5.666666666666667,0,0,6,4,0,1.0573969806456505
43,Văn học,Lối sống của Bác là sự kết hợp giữa giản dị và thanh cao vì sao,13,3.923076923076923,2,0,3,4,1,1.1565793234861437
44,Văn học,Trong đoạn văn sau tác giả sử dụng biện pháp nghệ thuật gì để làm nổi bật phong cách Hồ Chí Minh Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là một lối sống thanh cao một cách di dưỡng tinh thần một quan niệm về thẩm mĩ cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác,65,5.123076923076923,7,0,26,13,7,1.063251825950792
45,Văn học,Bài học rút ra từ phẩm chất của Bác qua văn bản Phong cách Hồ Chí Minh là gì,13,4.923076923076923,0,0,6,4,0,1.1375771987469123
46,Văn học,Tại sao tác giả lại gọi Bác là một nhân cách rất Việt Nam,10,4.8,0,0,4,2,0,1.5328884413183752
47,Văn học,Đọc đoạn trích sau và trả lời câu hỏi Và Người sống ở đó một mình với một tư trang ít ỏi một chiếc va li con với vài bộ áo quần vài vật kỉ niệm của cuộc đời dài Tôi dám chắc không có một vị lãnh tụ một vị tổng thống hay một vị vua hiền nào ngày trước lại sống đến mức giản dị và tiết chế như vậy Bất giác ta nghĩ đến các vị hiền triết ngày xưa như Nguyễn Trãi ở Côn Sơn hay Nguyễn Bỉnh Khiêm sống ở quê nhà với những thú quê thuần đức Thu ăn măng trúc đông ăn giá Xuân tắm hồ sen hạ tắm ao Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác SGK Ngữ văn 9 tập một Xác định phương thức biểu đạt chính được sử dụng trong đoạn văn trên,154,4.746753246753247,12,0,62,27,12,1.1045689274830925
48,Văn học,Đọc đoạn trích sau và trả lời câu hỏi Và Người sống ở đó một mình với một tư trang ít ỏi một chiếc va li con với vài bộ áo quần vài vật kỉ niệm của cuộc đời dài Tôi dám chắc không có một vị lãnh tụ một vị tổng thống hay một vị vua hiền nào ngày trước lại sống đến mức giản dị và tiết chế như vậy Bất giác ta nghĩ đến các vị hiền triết ngày xưa như Nguyễn Trãi ở Côn Sơn hay Nguyễn Bỉnh Khiêm sống ở quê nhà với những thú quê thuần đức Thu ăn măng trúc đông ăn giá Xuân tắm hồ sen hạ tắm ao Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác SGK Ngữ văn 9 tập một Đoạn trích trên được trích trong văn bản của tác giả nào,154,4.6688311688311686,12,0,61,28,12,1.1391772638745588
49,Văn học,Đọc đoạn trích sau và trả lời câu hỏi Và Người sống ở đó một mình với một tư trang ít ỏi một chiếc va li con với vài bộ áo quần vài vật kỉ niệm của cuộc đời dài Tôi dám chắc không có một vị lãnh tụ một vị tổng thống hay một vị vua hiền nào ngày trước lại sống đến mức giản dị và tiết chế như vậy Bất giác ta nghĩ đến các vị hiền triết ngày xưa như Nguyễn Trãi ở Côn Sơn hay Nguyễn Bỉnh Khiêm sống ở quê nhà với những thú quê thuần đức Thu ăn măng trúc đông ăn giá Xuân tắm hồ sen hạ tắm ao Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác SGK Ngữ văn 9 tập một Cụm từ di dưỡng tinh thần trong đoạn trích được hiểu là,153,4.699346405228758,12,0,62,28,12,1.1585372355053691
50,Văn học,Đọc đoạn trích sau và trả lời câu hỏi Và Người sống ở đó một mình với một tư trang ít ỏi một chiếc va li con với vài bộ áo quần vài vật kỉ niệm của cuộc đời dài Tôi dám chắc không có một vị lãnh tụ một vị tổng thống hay một vị vua hiền nào ngày trước lại sống đến mức giản dị và tiết chế như vậy Bất giác ta nghĩ đến các vị hiền triết ngày xưa như Nguyễn Trãi ở Côn Sơn hay Nguyễn Bỉnh Khiêm sống ở quê nhà với những thú quê thuần đức Thu ăn măng trúc đông ăn giá Xuân tắm hồ sen hạ tắm ao Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác SGK Ngữ văn 9 tập một Điểm giống nhau giữa Chủ Tịch Hồ Chí Minh với Nguyễn Trãi Nguyễn Bỉnh Khiêm được nhắc trong văn bản là,158,4.8164556962025316,12,0,65,28,13,1.1396956984127298
51,Văn học,Đọc đoạn trích sau và trả lời câu hỏi Và Người sống ở đó một mình với một tư trang ít ỏi một chiếc va li con với vài bộ áo quần vài vật kỉ niệm của cuộc đời dài Tôi dám chắc không có một vị lãnh tụ một vị tổng thống hay một vị vua hiền nào ngày trước lại sống đến mức giản dị và tiết chế như vậy Bất giác ta nghĩ đến các vị hiền triết ngày xưa như Nguyễn Trãi ở Côn Sơn hay Nguyễn Bỉnh Khiêm sống ở quê nhà với những thú quê thuần đức Thu ăn măng trúc đông ăn giá Xuân tắm hồ sen hạ tắm ao Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác SGK Ngữ văn 9 tập một Từ Hán Việt nào dưới đây không được nhắc tới trong đoạn trích trên,157,4.624203821656051,12,0,61,29,12,1.1173720309253203
52,Văn học,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh Lê Anh Trà SGK Ngữ văn 9 tập một Xác định thể loại của văn bản Phong cách Hồ Chí Minh,130,5.130769230769231,9,0,43,20,11,1.1279300366452587
53,Văn học,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh Lê Anh Trà SGK Ngữ văn 9 tập một Biện pháp tu từ nổi bật trong đoạn văn trên là,133,4.947368421052632,9,0,42,22,12,1.1961449767727224
54,Văn học,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh Lê Anh Trà SGK Ngữ văn 9 tập một Ở phần trích trên tác giả đã cho thấy vẻ đẹp của phong cách Hồ Chí Minh được kết hợp hài hòa bởi những yếu tố nào,144,4.958333333333333,9,0,44,25,12,1.2090592366662558
55,Văn học,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh Lê Anh Trà SGK Ngữ văn 9 tập một Phép liên kết được sử dụng trong câu 1 và 2 là,134,4.902985074626866,10,0,40,23,11,1.1688580627370666
56,Văn học,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh Lê Anh Trà SGK Ngữ văn 9 tập một Đoạn trích trên gửi gắm bài học nào cho giới trẻ hiện nay,134,4.985074626865671,9,0,43,21,12,1.1827101386681376
57,Văn học,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh Lê Anh Trà in trong cuốn Hồ Chí Minh và văn hóa Việt Nam 1990 Theo quan điểm của tác giả đoạn trích nét phong cách nổi bật của Hồ Chí Minh là gì,199,5.040201005025126,14,0,72,34,20,1.0973985906415626
58,Văn học,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh Lê Anh Trà in trong cuốn Hồ Chí Minh và văn hóa Việt Nam 1990 Phương thức biểu đạt chính của đoạn trích trên là,194,5.025773195876289,14,0,69,34,19,1.0973985906415626
59,Văn học,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh Lê Anh Trà in trong cuốn Hồ Chí Minh và văn hóa Việt Nam 1990 Đoạn văn sau tác giả đã sử dụng phép liên kết nào Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga Và Người đã làm nhiều nghề,238,4.915966386554622,16,0,90,40,24,1.0973985906415626
60,Văn học,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh Lê Anh Trà in trong cuốn Hồ Chí Minh và văn hóa Việt Nam 1990 Xác định phép tu từ nổi bật được sử dụng trong đoạn văn Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga Và Người đã làm nhiều nghề,238,4.9411764705882355,15,0,87,43,25,1.0973985906415626
61,Văn học,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh Lê Anh Trà in trong cuốn Hồ Chí Minh và văn hóa Việt Nam 1990 Qua đoạn trích trên em học tập được những gì từ cách tiếp thu văn hóa các nước của Bác,203,4.940886699507389,14,0,72,35,19,1.0973985906415626
