id,mean_sim,max_sim,min_sim,std_sim,range_sim,sentence_length,avg_word_length,num_clauses,num_punct,num_nouns,num_verbs,num_adjs,perplexity,thang Bloom
1,0.885360062122345,0.9529826045036316,0.7537933588027954,0.0930438339710235,0.1991892457008361,8,6.25,0,0,4,1,0,1.5584259768626698,Remember
2,0.8916252255439758,0.9041515588760376,0.8822953701019287,0.0092045562341809,0.0218561887741088,19,5.0,0,0,7,8,0,1.35863355276057,Understand
3,0.9191593527793884,0.9250386953353882,0.911630392074585,0.0055968188680708,0.0134083032608032,11,5.454545454545454,0,0,4,3,1,1.2540407411918533,Remember
4,0.8048878312110901,0.8275036811828613,0.7852839231491089,0.017367223277688,0.0422197580337524,11,5.818181818181818,0,0,5,3,0,1.1534616466812204,Remember
5,0.7600305676460266,0.8030585050582886,0.7300614714622498,0.0311987195163965,0.0729970335960388,8,4.375,1,0,2,1,1,1.040243291918128,Remember
6,0.9172732830047609,0.9262940883636476,0.9012975692749025,0.0113279754295945,0.0249965190887451,67,5.08955223880597,7,0,26,11,9,1.0508318869332616,Remember
7,0.9063674807548524,0.907680869102478,0.9050540924072266,0.0013133883476257,0.0026267766952514,6,6.666666666666667,0,0,3,3,0,1.446315775548246,Remember
8,0.7797444462776184,0.8404831886291504,0.7227824926376343,0.0481252670288085,0.1177006959915161,10,5.6,0,0,4,3,0,1.078360280583576,Remember
9,0.9625943303108216,0.9860034584999084,0.9466129541397096,0.0169171020388603,0.0393905043601989,80,4.7,4,0,34,13,8,1.086012990639832,Analyze
10,0.830062210559845,0.8829883337020874,0.7731361389160156,0.0449360758066177,0.1098521947860717,10,5.6,0,0,4,3,0,1.7176103040064414,Remember
11,0.7893252372741699,0.8424234390258789,0.7563090324401855,0.0379155874252319,0.0861144065856933,9,5.444444444444445,0,0,4,1,0,1.2735804449179158,Understand
12,0.8719390034675598,0.9084620475769044,0.8238842487335205,0.0354785025119781,0.0845777988433837,12,4.583333333333333,2,0,6,1,1,1.0939616572646282,Understand
13,0.9748818278312684,0.9811944961547852,0.971150279045105,0.0044884048402309,0.0100442171096801,23,4.956521739130435,1,0,8,8,1,1.0525280803009776,Remember
14,0.9050773978233336,0.928696870803833,0.8781263828277588,0.0207792837172746,0.0505704879760742,8,7.375,0,0,4,2,0,1.1963215716712172,Analyze
15,0.8892273902893066,0.9498651623725892,0.775286078453064,0.0806242674589157,0.1745790839195251,10,5.8,0,0,4,2,1,1.4132243018784836,Understand
16,0.9108981490135192,0.9854211211204528,0.8561739921569824,0.0545906089246273,0.1292471289634704,26,4.769230769230769,1,0,9,9,1,1.1150495305500885,Remember
18,0.7689955234527588,0.8886474370956421,0.7071752548217773,0.0846223309636116,0.1814721822738647,12,3.1666666666666665,1,0,3,0,1,1.0294703546424908,Remember
19,0.9221256375312804,0.9496734142303468,0.8704204559326172,0.0365873016417026,0.0792529582977294,65,5.123076923076923,7,0,26,13,7,1.063251825950792,Remember
20,0.5085961818695068,0.5331023335456848,0.4649613797664642,0.0309324730187654,0.0681409537792205,13,3.923076923076923,2,0,3,4,1,1.1565793234861437,Understand
21,0.9578888416290284,0.9578888416290284,0.9578888416290284,0.0,0.0,26,6.038461538461538,2,0,8,9,3,1.132049993893368,Apply
22,0.815100371837616,0.8717803955078125,0.7778152823448181,0.0407388880848884,0.0939651131629943,18,4.444444444444445,2,0,5,4,2,1.2445104274208925,Apply
23,0.91815185546875,0.9263517260551452,0.9058024287223816,0.0088875573128461,0.0205492973327636,7,5.428571428571429,0,0,4,1,0,1.694448636075562,Remember
24,0.5921621918678284,0.5940645933151245,0.5901318788528442,0.0016080680070444,0.0039327144622802,7,5.571428571428571,0,0,3,2,0,1.0501029651225,Understand
25,0.4298921525478363,0.4611942172050476,0.4009250402450561,0.0246601216495037,0.0602691769599914,8,4.875,1,0,2,2,0,1.517533882364792,Understand
26,0.7377235293388367,0.751097559928894,0.7304989695549011,0.009467021562159,0.0205985903739929,5,5.2,0,0,2,1,0,2.116848980909019,Remember
27,0.6614258885383606,0.6804021596908569,0.6297529935836792,0.0225423593074083,0.0506491661071777,13,5.461538461538462,0,0,3,2,2,1.3370318936741727,Understand
28,0.7954168319702148,0.9135433435440063,0.5901318788528442,0.145707905292511,0.3234114646911621,7,5.571428571428571,0,0,3,2,0,1.0501029651225,Understand
29,0.9129071235656738,0.9363284111022948,0.8965905904769897,0.0169829595834016,0.0397378206253051,7,5.428571428571429,0,0,4,1,0,1.694448636075562,Remember
31,0.7320392727851868,0.828779399394989,0.6324642896652222,0.0801703706383705,0.1963151097297668,5,5.2,0,0,2,1,0,2.116848980909019,Remember
33,0.7468748688697815,0.834915816783905,0.6278705596923828,0.0873154550790786,0.2070452570915222,10,5.6,0,0,4,3,0,1.1063206692058425,Remember
34,0.9828465580940248,0.9875512719154358,0.9784404635429382,0.0037254625931382,0.0091108083724975,14,5.857142857142857,1,0,4,3,2,1.2922231499574817,Remember
35,0.9108981490135192,0.9854211211204528,0.8561739921569824,0.0545906089246273,0.1292471289634704,26,4.769230769230769,1,0,9,9,1,1.1150495305500885,Remember
36,0.7527148723602295,0.8955527544021606,0.6732947826385498,0.1012126952409744,0.2222579717636108,16,5.9375,1,0,6,3,2,1.175545244220675,Remember
37,0.8095254302024841,0.9137755632400512,0.7552293539047241,0.0737373009324073,0.1585462093353271,9,7.0,0,0,4,3,0,1.5244055700256465,Remember
38,0.888277530670166,0.9263960719108582,0.8311310410499573,0.0411534011363983,0.0952650308609008,14,4.857142857142857,2,0,6,5,0,1.140553584059066,Understand
39,0.6901790499687195,0.8222024440765381,0.4275572299957275,0.1857025623321533,0.3946452140808105,8,4.875,1,0,2,2,0,1.517533882364792,Understand
41,0.4828368127346039,0.6010628342628479,0.40581014752388,0.0848683044314384,0.1952526867389679,14,5.357142857142857,0,0,5,3,2,1.07071523395813,Understand
42,0.8806220889091492,0.9793114066123962,0.7891648411750793,0.0777952745556831,0.1901465654373169,15,5.666666666666667,0,0,6,4,0,1.0573969806456505,Remember
43,0.7344880104064941,0.8415824174880981,0.5331023335456848,0.1424970775842666,0.3084800839424133,13,3.923076923076923,2,0,3,4,1,1.1565793234861437,Understand
44,0.8710711598396301,0.8846687078475952,0.8581244349479675,0.0108464192599058,0.0265442728996276,65,5.123076923076923,7,0,26,13,7,1.063251825950792,Remember
45,0.8922036290168762,0.9046093225479126,0.8820911645889282,0.0093349125236272,0.0225181579589843,13,4.923076923076923,0,0,6,4,0,1.1375771987469123,Remember
46,0.939295530319214,0.9498650431632996,0.9227786064147948,0.0118306716904044,0.0270864367485046,10,4.8,0,0,4,2,0,1.5328884413183752,Remember
