id,Question_Text,Bloom_Label
1,Từ Văn hóa trong văn bản Phong cách Hồ Chí Minh được hiểu,Understand
2,Ý nào nói lên việc tiếp thu có chọn lọc tinh hoa văn hóa nước ngoài của Hồ Chí Minh không được nêu trong bài viết,Understand
3,Vấn đề chủ yếu được nói tới trong văn bản Phong cách Hồ Chí Minh là gì,Remember
4,Theo tác giả quan niệm thẩm mĩ về cuộc sống của Chủ tịch Hồ Chí Minh là gì,Remember
5,Từ nào sau đây trái nghĩa với truân chuyên,Understand
6,Trong đoạn văn sau tác giả đã sử dụng biện pháp nghệ thuật gì để làm nổi bật phong cách của Hồ Chí Minh Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác,Remember
7,Chủ tịch Hồ Chí Minh được UNESCO công nhận là,Understand
8,Em hiểu từ phong cách trong Phong cách Hồ Chí Minh có nghĩa là gì,Remember
9,Đoạn văn sau được viết theo phương thức biểu đạt chính nào Trong cuộc đời đầy truân chuyên của mình Chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả ở phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã từng sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề,Analyze
10,Phong cách sống của Hồ Chí Minh được tác giả so sánh với những ai,Remember
11,Hồ Chí Minh đã tiếp thu giá trị của những nền văn hóa nào,Understand
12,Ý nào sau đây không đúng khi nói về văn bản Phong cách Hồ Chí Minh,Understand
13,Theo em cụm từ quan niệm thẩm mĩ trong câu Nếp sống giản dị và thanh đạm của Bác Hồ là một quan niệm thẩm mĩ về cuộc sống có nghĩa là gì,Remember
14,Phương thức biểu đạt chính trong văn bản phong cách Hồ Chí Minh là,Analyze
15,Vấn đề chủ yếu được nói đến trong Văn bản phong cách Hồ Chí Minh là,Understand
16,Trong bài viết tác giả cho rằng Nếp sống giản dị và thanh đạm của Bác Hồ là một quan niệm thẩm mĩ về cuộc sống Theo em cụm từ quan niệm thẩm mĩ là gì,Remember
17,Trong bài viết để làm nổi bật vẻ đẹp của phong cách Hồ Chí Minh tác giả không sử dụng biện pháp nghệ thuật nào,Remember
18,Trong các từ sau từ nào không phải là từ Hán Việt,Understand
19,Trong đoạn văn sau tác giả sử dụng biện pháp nghệ thuật gì để làm nổi bật phong cách Hồ Chí Minh Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là một lối sống thanh cao một cách di dưỡng tinh thần một quan niệm về thẩm mĩ cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác,Remember
20,Lối sống của Bác là sự kết hợp giữa giản dị và thanh cao vì sao,Analyze
21,Trong quá trình tiếp thu tinh hoa văn hóa nước ngoài Người tiếp thu một cách có chọn lọc không ảnh hưởng thụ động biết tiếp thu cái hay cái đẹp phê phán hạn chế tiêu cực đúng hay sai,Remember
22,Chọn từ thích hợp để điền vào chỗ trống Đó là cách sống giản dị đạm bạc nhưng rất của Hồ Chí Minh,Apply
23,Tác giả của bài Phong cách Hồ Chí Minh là ai,Remember
24,Phong cách của Hồ Chí Minh là sự kết hợp giữa,Understand
25,Vì sao Hồ Chủ tịch lại có vốn văn hóa sâu rộng,Analyze
26,Văn bản này thuộc thể loại nào,Remember
27,Lối sống rất bình dị rất Việt Nam rất phương Đông của Bác được thể hiện như thế nào,Understand
28,Phong cách của Hồ Chí Minh là sự kết hợp giữa,Understand
29,Tác giả của bài Phong cách Hồ Chí Minh là ai,Remember
30,Vấn đề chủ yếu được tác giả nói tới trong văn bản Phong cách Hồ Chí Minh là gì,Remember
31,Văn bản này thuộc thể loại nào,Remember
32,Chọn từ thích hợp để điền vào chỗ trống Đó là cách sống giản dị đạm bạc nhưng rất của Hồ Chí Minh,Apply
33,Em hiểu từ phong cách trong phong cách Hồ Chí Minh có nghĩa là gì,Remember
34,Để làm nổi bật lối sống rất giản dị của Hồ Chí Minh tác giả đã sử dụng phương thức lập luận nào,Remember
35,Trong bài viết tác giả cho rằng Nếp sống giản dị và thanh đạm của Bác Hồ là một quan niệm thẩm mĩ về cuộc sống Theo em cụm từ quan niệm thẩm mĩ là gì,Remember
36,Trong bài viết để làm nổi bật vẻ đẹp của phong cách Hồ Chí Minh tác giả không sử dụng biện pháp nghệ thuật nào,Remember
37,Văn bản Phong cách Hồ Chí Minh sử dụng phương thức biểu đạt chính là gì,Remember
38,Để viết mở bài phân tích văn bản Phong cách Hồ Chí Minh cần đảm bảo ý nào sau đây,Understand
39,Vì sao Hồ Chủ tịch lại có vốn văn hóa sâu rộng,Analyze
40,Trong quá trình tiếp thu tinh hoa văn hóa nước ngoài Người tiếp thu một cách có chọn lọc không ảnh hưởng thụ động biết tiếp thu cái hay cái đẹp phê phán hạn chế tiêu cực đúng hay sai,Remember
41,Ý nào nói đúng nhất những phương diện thể hiện lối sống giản dị của chủ tịch Hồ Chí Minh,Understand
42,Trong bài viết Phong cách Hồ Chí Minh tác giả so sánh lối sống của Bác Hồ với lối sống của những ai,Remember
43,Lối sống của Bác là sự kết hợp giữa giản dị và thanh cao vì sao,Analyze
44,Trong đoạn văn sau tác giả sử dụng biện pháp nghệ thuật gì để làm nổi bật phong cách Hồ Chí Minh Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là một lối sống thanh cao một cách di dưỡng tinh thần một quan niệm về thẩm mĩ cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác,Remember
45,Bài học rút ra từ phẩm chất của Bác qua văn bản Phong cách Hồ Chí Minh là gì,Remember
46,Tại sao tác giả lại gọi Bác là một nhân cách rất Việt Nam,Remember
47,Đọc đoạn trích sau và trả lời câu hỏi Và Người sống ở đó một mình với một tư trang ít ỏi một chiếc va li con với vài bộ áo quần vài vật kỉ niệm của cuộc đời dài Tôi dám chắc không có một vị lãnh tụ một vị tổng thống hay một vị vua hiền nào ngày trước lại sống đến mức giản dị và tiết chế như vậy Bất giác ta nghĩ đến các vị hiền triết ngày xưa như Nguyễn Trãi ở Côn Sơn hay Nguyễn Bỉnh Khiêm sống ở quê nhà với những thú quê thuần đức Thu ăn măng trúc đông ăn giá Xuân tắm hồ sen hạ tắm ao Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác SGK Ngữ văn 9 tập một Xác định phương thức biểu đạt chính được sử dụng trong đoạn văn trên,Apply
48,Đọc đoạn trích sau và trả lời câu hỏi Và Người sống ở đó một mình với một tư trang ít ỏi một chiếc va li con với vài bộ áo quần vài vật kỉ niệm của cuộc đời dài Tôi dám chắc không có một vị lãnh tụ một vị tổng thống hay một vị vua hiền nào ngày trước lại sống đến mức giản dị và tiết chế như vậy Bất giác ta nghĩ đến các vị hiền triết ngày xưa như Nguyễn Trãi ở Côn Sơn hay Nguyễn Bỉnh Khiêm sống ở quê nhà với những thú quê thuần đức Thu ăn măng trúc đông ăn giá Xuân tắm hồ sen hạ tắm ao Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác SGK Ngữ văn 9 tập một Đoạn trích trên được trích trong văn bản của tác giả nào,Remember
49,Đọc đoạn trích sau và trả lời câu hỏi Và Người sống ở đó một mình với một tư trang ít ỏi một chiếc va li con với vài bộ áo quần vài vật kỉ niệm của cuộc đời dài Tôi dám chắc không có một vị lãnh tụ một vị tổng thống hay một vị vua hiền nào ngày trước lại sống đến mức giản dị và tiết chế như vậy Bất giác ta nghĩ đến các vị hiền triết ngày xưa như Nguyễn Trãi ở Côn Sơn hay Nguyễn Bỉnh Khiêm sống ở quê nhà với những thú quê thuần đức Thu ăn măng trúc đông ăn giá Xuân tắm hồ sen hạ tắm ao Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác SGK Ngữ văn 9 tập một Cụm từ di dưỡng tinh thần trong đoạn trích được hiểu là,Understand
50,Đọc đoạn trích sau và trả lời câu hỏi Và Người sống ở đó một mình với một tư trang ít ỏi một chiếc va li con với vài bộ áo quần vài vật kỉ niệm của cuộc đời dài Tôi dám chắc không có một vị lãnh tụ một vị tổng thống hay một vị vua hiền nào ngày trước lại sống đến mức giản dị và tiết chế như vậy Bất giác ta nghĩ đến các vị hiền triết ngày xưa như Nguyễn Trãi ở Côn Sơn hay Nguyễn Bỉnh Khiêm sống ở quê nhà với những thú quê thuần đức Thu ăn măng trúc đông ăn giá Xuân tắm hồ sen hạ tắm ao Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác SGK Ngữ văn 9 tập một Điểm giống nhau giữa Chủ Tịch Hồ Chí Minh với Nguyễn Trãi Nguyễn Bỉnh Khiêm được nhắc trong văn bản là,Understand
51,Đọc đoạn trích sau và trả lời câu hỏi Và Người sống ở đó một mình với một tư trang ít ỏi một chiếc va li con với vài bộ áo quần vài vật kỉ niệm của cuộc đời dài Tôi dám chắc không có một vị lãnh tụ một vị tổng thống hay một vị vua hiền nào ngày trước lại sống đến mức giản dị và tiết chế như vậy Bất giác ta nghĩ đến các vị hiền triết ngày xưa như Nguyễn Trãi ở Côn Sơn hay Nguyễn Bỉnh Khiêm sống ở quê nhà với những thú quê thuần đức Thu ăn măng trúc đông ăn giá Xuân tắm hồ sen hạ tắm ao Nếp sống giản dị và thanh đạm của Bác Hồ cũng như các vị danh nho xưa hoàn toàn không phải là một cách tự thần thánh hóa tự làm cho khác đời hơn đời mà đây là lối sống thanh cao một cách di dưỡng tinh thần một quan niệm thẩm mĩ về cuộc sống có khả năng đem lại hạnh phúc thanh cao cho tâm hồn và thể xác SGK Ngữ văn 9 tập một Từ Hán Việt nào dưới đây không được nhắc tới trong đoạn trích trên,Understand
52,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh Lê Anh Trà SGK Ngữ văn 9 tập một Xác định thể loại của văn bản Phong cách Hồ Chí Minh,Understand
53,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh Lê Anh Trà SGK Ngữ văn 9 tập một Biện pháp tu từ nổi bật trong đoạn văn trên là,Understand
54,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh Lê Anh Trà SGK Ngữ văn 9 tập một Ở phần trích trên tác giả đã cho thấy vẻ đẹp của phong cách Hồ Chí Minh được kết hợp hài hòa bởi những yếu tố nào,Remember
55,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh Lê Anh Trà SGK Ngữ văn 9 tập một Phép liên kết được sử dụng trong câu 1 và 2 là,Understand
56,Đọc đoạn trích sau và trả lời các câu hỏi 1 Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như Chủ tịch Hồ Chí Minh 2 Đến đâu Người cũng học hỏi tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm 3 Người cũng chịu ảnh hưởng của tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực của chủ nghĩa tư bản 4 Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa dân tộc không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng cũng đồng thời rất mới rất hiện đại Trích Phong cách Hồ Chí Minh Lê Anh Trà SGK Ngữ văn 9 tập một Đoạn trích trên gửi gắm bài học nào cho giới trẻ hiện nay,Understand
57,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh Lê Anh Trà in trong cuốn Hồ Chí Minh và văn hóa Việt Nam 1990 Theo quan điểm của tác giả đoạn trích nét phong cách nổi bật của Hồ Chí Minh là gì,Remember
58,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh Lê Anh Trà in trong cuốn Hồ Chí Minh và văn hóa Việt Nam 1990 Phương thức biểu đạt chính của đoạn trích trên là,Understand
59,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh Lê Anh Trà in trong cuốn Hồ Chí Minh và văn hóa Việt Nam 1990 Đoạn văn sau tác giả đã sử dụng phép liên kết nào Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga Và Người đã làm nhiều nghề,Remember
60,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh Lê Anh Trà in trong cuốn Hồ Chí Minh và văn hóa Việt Nam 1990 Xác định phép tu từ nổi bật được sử dụng trong đoạn văn Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga Và Người đã làm nhiều nghề,Understand
61,Đọc đoạn trích sau và trả lời các câu hỏi Trong cuộc đời đầy truân chuyên của mình chủ tịch Hồ Chí Minh đã tiếp xúc với văn hóa nhiều nước nhiều vùng trên thế giới cả phương Đông và phương Tây Trên những con tàu vượt trùng dương Người đã ghé lại nhiều hải cảng đã thăm các nước châu Phi châu Á châu Mĩ Người đã sống dài ngày ở Pháp ở Anh Người nói và viết thạo nhiều thứ tiếng ngoại quốc Pháp Anh Hoa Nga và Người đã làm nhiều nghề Có thể nói ít có vị lãnh tụ nào lại am hiểu nhiều về các dân tộc và nhân dân thế giới văn hóa thế giới sâu sắc như chủ tịch Hồ Chí Minh Đến đâu Người cũng học hỏi và tìm hiểu văn hóa nghệ thuật đến một mức khá uyên thâm Người cũng chịu ảnh hưởng tất cả các nền văn hóa đã tiếp thu mọi cái đẹp và cái hay đồng thời với việc phê phán những tiêu cực Nhưng điều kì lạ là tất cả những ảnh hưởng quốc tế đó đã nhào nặn với cái gốc văn hóa không gì lay chuyển được ở Người để trở thành một nhân cách rất Việt Nam một lối sống rất bình dị rất Việt Nam rất phương Đông nhưng đồng thời cũng rất mới rất hiện đại Phong cách Hồ Chí Minh Lê Anh Trà in trong cuốn Hồ Chí Minh và văn hóa Việt Nam 1990 Qua đoạn trích trên em học tập được những gì từ cách tiếp thu văn hóa các nước của Bác,Understand
